base_feature,tuned_feature,decoder_cosine,base_frequency,tuned_frequency,frequency_delta,frequency_delta_abs,base_mean_activation,tuned_mean_activation,mean_activation_delta,category
3412,3412,0.98787934,0.01685,0.97529,0.95844,0.95844,0.002535943,0.13492651,0.13239057,frequency_shifted
1247,1247,0.9879182,0.017479999,0.97717,0.95969,0.95969,0.0020136316,0.16699113,0.16497749,frequency_shifted
2441,2441,0.98803246,0.96792,0.008839999,-0.95908,0.95908,0.15395424,0.00037552833,-0.15357871,frequency_shifted
3045,3045,0.98807275,0.010129999,0.97428995,0.96415997,0.96415997,0.00046998248,0.17922759,0.17875761,frequency_shifted
4184,4184,0.98807615,0.01716,0.97840995,0.96124995,0.96124995,0.0038484484,0.17190348,0.16805503,frequency_shifted
3688,3688,0.9882134,0.01321,0.97879,0.96558,0.96558,0.00018826808,0.20577142,0.20558316,frequency_shifted
5993,5993,0.988271,0.97674996,0.01358,-0.96316993,0.96316993,0.1648746,0.0010048036,-0.1638698,frequency_shifted
658,658,0.9882796,0.008909999,0.96902996,0.96011996,0.96011996,0.00017436259,0.15915065,0.15897629,frequency_shifted
5656,5656,0.98830247,0.00882,0.97253996,0.96371996,0.96371996,0.0006535592,0.1682782,0.16762464,frequency_shifted
2195,2195,0.9883069,0.01697,0.98236996,0.9654,0.9654,0.004299699,0.21005589,0.20575619,frequency_shifted
5512,5512,0.9883112,0.01726,0.97682995,0.95956993,0.95956993,0.001862094,0.17252293,0.17066084,frequency_shifted
5792,5792,0.9883561,0.01666,0.97037,0.95371,0.95371,0.0026502227,0.17529199,0.17264177,frequency_shifted
2880,2880,0.98844486,0.97063,0.015929999,-0.9547,0.9547,0.21158598,0.0018530764,-0.2097329,frequency_shifted
1676,1676,0.9884552,0.00864,0.97227997,0.96364,0.96364,0.00019691332,0.18979068,0.18959376,frequency_shifted
4698,4698,0.9884887,0.00868,0.96822995,0.95954996,0.95954996,0.00047335884,0.16313456,0.1626612,frequency_shifted
5784,5784,0.98852915,0.01557,0.97077996,0.95521,0.95521,0.00039530176,0.17605023,0.17565493,frequency_shifted
118,118,0.988538,0.97809,0.0144299995,-0.96366,0.96366,0.1808294,0.0014997226,-0.17932968,frequency_shifted
1177,1177,0.9885418,0.016649999,0.96946996,0.95281994,0.95281994,0.0020975969,0.17144457,0.16934697,frequency_shifted
2209,2209,0.9885484,0.9669,0.00274,-0.96415997,0.96415997,0.14420281,3.8066668e-05,-0.14416474,frequency_shifted
4331,4331,0.9885599,0.01647,0.96494997,0.94847995,0.94847995,0.0006806806,0.13525003,0.13456935,frequency_shifted
